id,symbol,name,market_cap (usd),market_cap_rank,categories
dextools,dext,DexTools,23617111,994,[]
chex-token,chex,CHEX Token,238139103,232,[]
solv-protocol,solv,Solv Protocol,57113276,611,[]
aragon,ant,Aragon,5926388,1755,[]
book-of-ethereum,booe,Book of Ethereum,23640392,992,[]
aethir,ath,Aethir,238741890,231,[]
propy,pro,Propy,57129426,613,[]
tron,trx,TRON,20799376639,10,[]
diamond,dmd,Diamond,5927398,1754,[]
sideshift-token,xai,SideShift,23643293,993,[]
liquid-staked-ethereum,lseth,Liquid Staked ETH,238792155,230,[]
vanar-chain,vanry,Vanar Chain,57179154,612,[]
fuse-network-token,fuse,Fuse,5950707,1753,[]
shardus,ult,Shardus,23693220,991,[]
quorium,qgold,Quorium,244374372,229,[]
general-layer-btc,gl-btc,General-Layer BTC,57703414,610,[]
dogecoin,doge,Dogecoin,28404091572,9,[]
dhedge-dao,dht,dHEDGE DAO,5966076,1752,[]
apollox-2,apx,APX,23734033,990,[]
zilliqa,zil,Zilliqa,244643628,228,[]
pepecoin-2,pepecoin,PepeCoin,57771455,609,[]
klima-dao,klima,KlimaDAO,5971255,1751,[]
prosper,pros,Prosper [OLD],23745202,989,[]
deep,deep,DeepBook,246385900,227,[]
apex-token-2,apex,ApeX,57889072,608,[]
blub,blub,BLUB,5972856,1751,[]
xsgd,xsgd,XSGD,23790540,988,[]
astar,astr,Astar,246427505,226,[]
fartboy,$fartboy,Fartboy,57994781,607,[]
joule-2,joule,Joule,5996830,1747,[]
shadow-liquid-staking-token,x33,Shadow Liquid Staking Token,23908825,987,[]
fartcoin,fartcoin,Fartcoin,250132677,224,[]
ekubo-protocol,ekubo,Ekubo Protocol,58122889,606,[]
pepecat-2,pepecat,PEPECAT,6000372,1729,[]
ecox,ecox,ECOx,23997231,973,[]
safe,safe,Safe,250850994,225,[]
test-3,tst,Test,58236917,604,[]
nft-worlds,wrld,NFT Worlds,6010873,1744,[]
district0x,dnt,district0x,24000266,986,[]
nervos-network,ckb,Nervos Network,253582792,223,[]
unicorn-fart-dust,ufd,Unicorn Fart Dust,58340600,603,[]
jelly-my-jelly,jellyjelly,Jelly-My-Jelly,6039615,1745,[]
nusd,susd,sUSD,24007039,985,[]
blur,blur,Blur,256068016,222,[]
tars-protocol,tai,TARS AI,58519351,602,[]
agridex-governance-token,agri,AgriDex,6040497,1746,[]
osol,osol,OSOL,24077236,979,[]
sats-ordinals,sats,SATS (Ordinals),256252130,221,[]
qanplatform,qanx,QANplatform,58548219,605,[]
starslax,sslx,StarSlax,6045674,1743,[]
illuminaticoin,nati,IlluminatiCoin,24115816,984,[]
ket,ket,Ket,265371429,220,[]
bella-protocol,bel,Bella Protocol,58801406,601,[]
trust-ai,trt,TRUST AI,6057729,1749,[]
bityuan,bty,Bityuan,24138299,983,[]
ether-fi-staked-btc,ebtc,Ether.fi Staked BTC,272260832,219,[]
secret,scrt,Secret,59354169,599,[]
holdstation,hold,Holdstation,6065383,1742,[]
dogeai-2,$dogeai,DOGEai,24138540,982,[]
cookie,cookie,Cookie DAO,59364681,600,[]
jesus-coin,jesus,Jesus Coin,6075447,1735,[]
compound-wrapped-btc,cwbtc,cWBTC,278546133,217,[]
trufin-staked-apt,truapt,TruFin Staked APT,59576621,598,[]
seedworld,sworld,Seedworld,6092172,1740,[]
gyroscope-gyd,gyd,Gyroscope GYD,24210866,980,[]
snek,snek,Snek,279106835,216,[]
tokamak-network,ton,Tokamak Network,59956810,597,[]
rch-token,rch,RCH Token,6097121,1738,[]
ahatoken,aht,AhaToken,24258653,974,[]
kusama,ksm,Kusama,282973621,215,[]
bone-shibaswap,bone,Bone ShibaSwap,60046514,596,[]
blocksquare,bst,Blocksquare,6097391,1739,[]
komodo,kmd,Komodo,24278095,976,[]
theta-fuel,tfuel,Theta Fuel,283076970,214,[]
moonriver,movr,Moonriver,60098164,595,[]
mystandard,myst,MyStandard,6102151,1737,[]
quantum-resistant-ledger,qrl,Quantum Resistant Ledger,24286605,978,[]
creditcoin-2,ctc,Creditcoin,285040352,213,[]
gamebuild,game,GameBuild,60107381,593,[]
pozo-coin,pozo,Pozo Coin,6108893,1736,[]
auki-labs,auki,AUKI,24288508,977,[]
mx-token,mx,MX,285322383,212,[]
lift-dollar,usdl,Lift Dollar,60136239,594,[]
decubate,dcb,Decubate,6118682,1733,[]
plume,plume,Plume,287309077,210,[]
messier,m87,MESSIER,60334610,592,[]
defi-kingdoms,jewel,DeFi Kingdoms,6123302,1732,[]
vertex-protocol,vrtx,Vertex,24349331,972,[]
super-oeth,superoethb,Super OETH,287330620,211,[]
carv,carv,CARV,60337781,590,[]
shrapnel-2,shrap,Shrapnel,6126407,1750,[]
siren-2,siren,Siren,24537618,970,[]
sweth,sweth,Swell Ethereum,287548313,208,[]
binance-usd,busd,BUSD,60351417,591,[]
avalanche-2,avax,Avalanche,8387744603,19,[]
stellar,xlm,Stellar,8539674139,18,[]
ellipsis,eps,Ellipsis [OLD],12327512,1351,[]
guild-of-guardians,gog,Guild of Guardians,12338297,1350,[]
paid-network,paid,PAID,12342808,1349,[]
agoras-currency-of-tau,agrs,Agoras: Tau Net,12495738,1348,[]
propchain,propc,Propchain,12504378,1346,[]
index-cooperative,index,Index Cooperative,12509600,1347,[]
xpmarket,xpm,XPmarket,12578090,1344,[]
lemonschain,lct,Lemonschain,12580109,1345,[]
asymmetry-finance,asf,Asymmetry Finance,12602458,1342,[]
sovrun,sovrn,Sovrun,12618990,1343,[]
open-ticketing-ecosystem,opn,OPEN Ticketing Ecosystem,12654904,1340,[]
moxie,moxie,Moxie,12658677,1339,[]
karate-combat,karate,Karate Combat,12661527,1341,[]
quiztok,qtcon,Quiztok,12666169,1338,[]
mode,mode,Mode,12693118,1337,[]
republic-protocol,ren,Ren,12748817,1336,[]
colony,cly,Colony,12770428,1333,[]
foxsy-ai,foxsy,Foxsy AI,12775696,1334,[]
worldwide-usd,wusd,Worldwide USD,12778212,1335,[]
agora-dollar,ausd,AUSD,12826092,1331,[]
aleph,aleph,Aleph.im,12844150,1330,[]
meme-trumpcoin,trump,Meme TrumpCoin,12844298,1332,[]
fbomb,bomb,Fantom Bomb,12902158,1327,[]
bitget-staked-sol,bgsol,Bitget Staked SOL,12908220,1328,[]
swell-restaked-btc,swbtc,Swell Restaked BTC,12908493,1329,[]
hyperskids,hyperskids,$HYPERSKIDS,12934567,1325,[]
wall-street-pepe,wepe,Wall Street Pepe,12939080,1323,[]
gud-tech,gud,Gud Tech,12941195,1326,[]
avant-usd,avusd,Avant USD,12961831,1324,[]
odos,odos,Odos,13054781,1322,[]
jumptoken,jmpt,JumpToken,13068586,1320,[]
defipulse-index,dpi,DeFi Pulse Index,13085618,1321,[]
rift-ai,rift,RIFT AI,13133470,1319,[]
gold-dao,goldao,GOLDAO,13180343,1318,[]
troy,troy,TROY,13184939,1317,[]
natix-network,natix,NATIX Network,13266326,1315,[]
hathor,htr,Hathor,13289561,1316,[]
evercraft-ecotechnologies,ecet,Evercraft Ecotechnologies,13334810,1314,[]
the-arena,arena,The Arena,13354282,1313,[]
tenset,10set,Tenset,13442042,1312,[]
bluefin,blue,Bluefin,13477586,1310,[]
realio-network,rio,Realio Network Token,13482996,1311,[]
frankencoin,zchf,Frankencoin,13491445,1309,[]
world-of-dypians,wod,World of Dypians,13509181,1308,[]
tao-bot,taobot,tao.bot,13600458,1307,[]
spectra-finance,spectra,Spectra,13648783,1306,[]
league-of-kingdoms,loka,League of Kingdoms,13664483,1302,[]
amnis-staked-aptos-coin,stapt,Amnis Staked Aptos Coin,13665355,1305,[]
kryll,krl,KRYLL,13696754,1303,[]
flex-usd,flexusd,flexUSD,13709742,1304,[]
central-african-republic-meme,car,Central African Republic Meme,13718981,1301,[]
phnix,phnix,PHNIX,13738392,1300,[]
nimiq-2,nim,Nimiq,13741843,1299,[]
ozone-chain,ozo,Ozone Chain,13787369,1298,[]
shiro-neko-2,shiro,Shiro Neko,13815937,1293,[]
zero-tech,meow,MEOW,13827106,1297,[]
nunet,ntx,NuNet,13832593,1296,[]
matr1x,max,Matr1x,13852445,1294,[]
constellation-staked-eth,xreth,Constellation Staked ETH,13873771,1295,[]
ussi,ussi,USSI,13888158,1292,[]
pirate-token,pirate,Pirate Nation Token,13890120,1291,[]
velas,vlx,Velas,14026181,1290,[]
diamond-launch,dlc,Diamond Launch,14076852,1289,[]
be-for-fwx,b4fwx,Be For FWX,6128158,1734,[]
safepal,sfp,SafePal,287858204,209,[]
orbiter-finance,obt,Orbiter Finance,60500123,589,[]
xelis,xel,Xelis,6143071,1741,[]
frax-ether,frxeth,Frax Ether,288858753,207,[]
wink,win,WINkLink,60652333,588,[]
gameswift,gswift,GameSwift,6147672,1720,[]
dash,dash,Dash,289027349,206,[]
celer-network,celr,Celer Network,60687581,587,[]
bacon-protocol,bac,Bacon Protocol,6152261,1731,[]
wormhole,w,Wormhole,289538718,205,[]
maple,mpl,Maple,60944747,586,[]
maga-hat,maga,MAGA Hat,6182544,1730,[]
golem,glm,Golem,290529128,204,[]
usualx,usualx,USUALx,61087754,585,[]
sensay,snsy,Sensay,6206537,1728,[]
zksync,zk,ZKsync,292754966,203,[]
ardor,ardr,Ardor,61194465,584,[]
playa3ull-games-2,3ull,PLAYA3ULL GAMES,6218397,1724,[]
havven,snx,Synthetix Network,296852754,202,[]
kyber-network-crystal,knc,Kyber Network Crystal,61227013,583,[]
only1,like,Only1,6220321,1726,[]
stader-ethx,ethx,Stader ETHx,300639940,201,[]
badger-dao,badger,Badger,61368721,582,[]
boba-oppa,bobaoppa,Boba Oppa,6240065,1727,[]
elixir-deusd,deusd,Elixir deUSD,301721898,200,[]
devve,devve,DevvE,61395801,581,[]
rocketx,rvf,RocketX Exchange,6240927,1725,[]
ai-companions,aic,AI Companions,303594037,199,[]
mantadao,mnta,MantaDAO,6254297,1723,[]
1inch,1inch,1inch,313652053,198,[]
degen-base,degen,Degen,61458265,579,[]
plugin,pli,Plugin,6261567,1722,[]
eigenlayer,eigen,Eigenlayer,314393940,197,[]
ssv-network,ssv,SSV Network,61824387,578,[]
stakewise,swise,StakeWise,6269460,1719,[]
goatseus-maximus,goat,Goatseus Maximus,61857055,577,[]
minima,minima,Minima,6286996,1718,[]
just,jst,JUST,318141831,195,[]
axondao-governance-token,axgt,AxonDAO Governance Token,62671778,576,[]
defichain,dfi,DeFiChain,6308280,1717,[]
akash-network,akt,Akash Network,321112804,193,[]
corgiai,corgiai,CorgiAI,63273322,575,[]
bubbles-2,bubbles,BUBBLES,6308975,1716,[]
level-usd,lvlusd,Level USD,63619207,574,[]
fact0rn,fact,Fact0rn,6313897,1721,[]
binance-peg-busd,busd,Binance-Peg BUSD,322835379,192,[]
aurora-near,aurora,Aurora,63770131,573,[]
stablr-usd,usdr,StablR USD,6341783,1715,[]
bit2me,b2m,Bit2Me,63879220,572,[]
42-coin,42,42-coin,6345830,1714,[]
terra-luna,lunc,Terra Luna Classic,340019062,190,[]
tokenbot-2,clanker,tokenbot,64203963,571,[]
saito,saito,Saito,6387737,1713,[]
mina-protocol,mina,Mina Protocol,342324788,189,[]
